id,titulo,localización,precio,Planta,Ascensor,EXT-INT,superficie_m2,habitaciones,baños,terraza,estado,armarios_empotrados,orientacion,año_construccion,calefaccion,aire_acondicionado,direccion,distrito,municipio,zona
108574393,Piso en venta en Malasaña-Universidad,Centro,1650000,2, Si,Exterior,210.0,3.0,2.0,False,Segunda mano/para reformar,True,Este,1880.0,Gas,True,,Distrito Centro,"Madrid capital, Madrid",
108092388,Piso en venta en calle del Espíritu Santo,Malasaña-Universidad,475000,Bajo , No,Interior,81.0,2.0,2.0,False,Segunda mano/buen estado,False,,1905.0,Eléctrica,False,Calle del Espíritu Santo,Distrito Centro,"Madrid capital, Madrid",
107824801,Dúplex en venta en calle Mayor,Sol,1690000,5, Si,Exterior,145.0,2.0,2.0,True,Segunda mano/buen estado,True,,,Gas natural,True,Calle Mayor,Distrito Centro,"Madrid capital, Madrid",
108349975,Piso en venta en calle de Cedaceros,Huertas-Cortes,2200000,6, Si,Exterior,120.0,2.0,2.0,True,Segunda mano/buen estado,True,,1905.0,,True,Calle de Cedaceros,Distrito Centro,"Madrid capital, Madrid",
104426468,Piso en venta en calle de Atocha,Lavapiés-Embajadores,949000,, Si,Exterior,226.0,8.0,3.0,True,Segunda mano/buen estado,False,,1976.0,Eléctrica,False,Calle de Atocha,Distrito Centro,"Madrid capital, Madrid",
108495428,Piso en venta en calle de las Fuentes,Sol,980000,3, Si,Exterior,147.0,2.0,2.0,False,Segunda mano/buen estado,True,,1880.0,Gas natural,True,Calle de las Fuentes,Distrito Centro,"Madrid capital, Madrid",
108540495,Piso en venta en plaza de Oriente,Palacio,1249000,5, Si,Exterior,146.0,3.0,3.0,False,Segunda mano/buen estado,False,,,,True,Plaza de Oriente,Distrito Centro,"Madrid capital, Madrid",
107901526,Piso en venta en Palacio,Centro,2675000,1, Si,Exterior,250.0,3.0,3.0,False,Segunda mano/buen estado,True,,,Gas natural,True,,Distrito Centro,"Madrid capital, Madrid",
108559481,Piso en venta en calle de Monteleón,Malasaña-Universidad,875000,4, Si,Exterior,107.0,2.0,2.0,False,Segunda mano/buen estado,True,Oeste,1900.0,,True,Calle de Monteleón,Distrito Centro,"Madrid capital, Madrid",
108538807,Piso en venta en Palacio,Centro,895000,4, Si,Exterior,106.0,2.0,,True,Segunda mano/buen estado,False,Este,1940.0,,True,,Distrito Centro,"Madrid capital, Madrid",
108234451,Piso en venta en calle de Orellana,Chueca-Justicia,600000,2, Si,Interior,41.0,,,False,Segunda mano/buen estado,True,Oeste,1983.0,,True,Calle de Orellana,Distrito Centro,"Madrid capital, Madrid",
107682829,Piso en venta en calle de Concepción Jerónima,Sol,970000,5, Si,Exterior,142.0,3.0,,False,Segunda mano/para reformar,False,,1910.0,Gas natural,False,Calle de Concepción Jerónima,Distrito Centro,"Madrid capital, Madrid",
107967867,Piso en venta en calle del Molino de Viento,Malasaña-Universidad,1500000,3, Si,Exterior,150.0,2.0,3.0,False,Segunda mano/buen estado,True,Oeste,1905.0,Gas natural,True,Calle del Molino de Viento,Distrito Centro,"Madrid capital, Madrid",
108362907,Piso en venta en calle de la Madera,Malasaña-Universidad,329000,2, No,Interior,65.0,3.0,,False,Segunda mano/buen estado,False,,1900.0,Gas natural,False,Calle de la Madera,Distrito Centro,"Madrid capital, Madrid",
108293160,Piso en venta en Gran Vía,Malasaña-Universidad,1950000,3, Si,Exterior,124.0,2.0,2.0,False,Segunda mano/buen estado,True,Norte,2022.0,,True,,Distrito Centro,"Madrid capital, Madrid",
