propertyCode,price,propertyType,operation,rooms,bathrooms,size,address,province,municipality,district,neighborhood,latitude,longitude,distance,exterior,floor,parkingSpace,priceByArea,detailedType
101957939,800.0,chalet,rent,1,1,41.0,Barrio Arroyo - Santa Justa,Sevilla,Sevilla,Santa Justa - Miraflores - Cruz Roja,Arroyo - Santa Justa,37.3968813,-5.9771356,4405,,,,20.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}"
108839999,1500.0,flat,rent,3,2,145.0,plaza Alcalde Horacio Hermoso,Sevilla,Sevilla,Prado de San Sebastián - Felipe II - Bueno Monreal,Tiro de Línea,37.3691873,-5.9748223,2952,True,1,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",10.0,{'typology': 'flat'}
98035218,1200.0,flat,rent,3,2,100.0,calle Malvaloca,Sevilla,Sevilla,Prado de San Sebastián - Felipe II - Bueno Monreal,Tiro de Línea,37.3706174,-5.9727113,3160,True,2,,12.0,{'typology': 'flat'}
94610831,1200.0,flat,rent,2,2,70.0,avenida de Jerez,Sevilla,Sevilla,La Palmera - Los Bermejales,Bami - Pineda,37.3534022,-5.9769874,3060,True,2,,17.0,{'typology': 'flat'}
108838572,1080.0,flat,rent,3,1,82.0,calle Claudio Guerín s/n,Sevilla,Sevilla,Nervión,El Juncal - El Plantinar,37.3740809,-5.9704107,3444,True,8,,13.0,{'typology': 'flat'}
88951145,900.0,penthouse,rent,1,1,51.0,Barrio Ramón de Carranza - Madre Rafols,Sevilla,Sevilla,Los Remedios,Ramón de Carranza - Madre Rafols,37.3757488,-5.9992333,1353,True,10,,18.0,"{'typology': 'flat', 'subTypology': 'penthouse'}"
108837392,1350.0,flat,rent,3,1,64.0,CL PUEBLA DE LAS MUJERES,Sevilla,Sevilla,Prado de San Sebastián - Felipe II - Bueno Monreal,Tiro de Línea,37.3720345,-5.9750447,2990,True,5,,21.0,{'typology': 'flat'}
108837159,1000.0,flat,rent,3,1,59.0,calle Tambre,Sevilla,Sevilla,Nervión,El Juncal - El Plantinar,37.3724315,-5.9675341,3647,True,4,,17.0,{'typology': 'flat'}
105915529,850.0,flat,rent,3,1,63.0,calle Sierra de Gata,Sevilla,Sevilla,Prado de San Sebastián - Felipe II - Bueno Monreal,Tiro de Línea,37.3667634,-5.9716304,3211,True,2,,13.0,{'typology': 'flat'}
108836766,1200.0,flat,rent,1,1,65.0,plaza de la Encarnación,Sevilla,Sevilla,Centro,Encarnación-Las Setas,37.3943722,-5.9901674,3550,False,bj,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",18.0,{'typology': 'flat'}
98289267,1200.0,flat,rent,4,1,90.0,"Madre Isabel Moreno, 4",Sevilla,Sevilla,Nervión,El Juncal - El Plantinar,37.3748974,-5.9693615,3558,True,4,,13.0,{'typology': 'flat'}
36360420,850.0,flat,rent,1,1,60.0,calle REGINA,Sevilla,Sevilla,Centro,Encarnación-Las Setas,37.3950604,-5.9923906,3538,True,2,,14.0,{'typology': 'flat'}
106788241,950.0,penthouse,rent,1,1,50.0,"calle Jerónimo Hernández, 12",Sevilla,Sevilla,Centro,Encarnación-Las Setas,37.3945108,-5.9916815,3507,True,3,,19.0,"{'typology': 'flat', 'subTypology': 'penthouse'}"
90556273,730.0,flat,rent,1,1,40.0,Paraguay,Sevilla,Sevilla,La Palmera - Los Bermejales,Reina Mercedes - Heliópolis,37.354818,-5.9867987,2228,True,bj,,18.0,{'typology': 'flat'}
108836226,800.0,flat,rent,1,1,60.0,calle Ximénez de Enciso,Sevilla,Sevilla,Centro,Santa Cruz - Alfalfa,37.3868756,-5.9890423,2883,True,2,,13.0,{'typology': 'flat'}
108836161,1750.0,flat,rent,5,3,200.0,avenida de Hytasa,Sevilla,Sevilla,Cerro Amate,Cerro del Águila,37.3736048,-5.9625229,4108,True,3,,9.0,{'typology': 'flat'}
108836186,1540.0,chalet,rent,4,3,180.0,Bernal Díaz del Castillo,Sevilla,Montequinto,Condequinto,,37.3501402,-5.9324759,6891,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",9.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}"
108281794,1400.0,flat,rent,3,2,102.0,plaza de San Quintín,Sevilla,Sevilla,Centro,Feria,37.3970373,-5.9891815,3855,True,3,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",14.0,{'typology': 'flat'}
87509361,1250.0,flat,rent,2,1,78.0,EDUARDO DATO,Sevilla,Sevilla,Nervión,Nervión,37.383547,-5.9710677,3813,True,2,,16.0,{'typology': 'flat'}
108834898,1300.0,flat,rent,4,2,94.0,"CL PUERTO DE LA MORA, 5",Sevilla,Sevilla,Cerro Amate,Rochelambert,37.3735718,-5.9546863,4786,True,4,,14.0,{'typology': 'flat'}
108834742,800.0,flat,rent,1,1,65.0,plaza de la Encarnación,Sevilla,Sevilla,Centro,Encarnación-Las Setas,37.3936384,-5.9929638,3373,True,1,,12.0,{'typology': 'flat'}
107305008,1850.0,flat,rent,2,2,99.0,Barrio San Vicente,Sevilla,Sevilla,Centro,San Vicente,37.3956925,-6.0015433,3378,True,bj,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",19.0,{'typology': 'flat'}
