id,Planta,Ascensor,EXT-INT,titulo,localización,precio,superficie_m2,habitaciones,baños,terraza,estado,armarios_empotrados,orientacion,año_construccion,calefaccion,aire_acondicionado,direccion,distrito,municipio,zona
105333957,1, No,Exterior,Alquiler de piso en calle de Francisco Navacerrada,Guindalera,1990,108,2.0,2.0,True,Segunda mano/buen estado,True,Norte,1945.0,Gas natural,True,Calle de Francisco Navacerrada,Distrito Barrio de Salamanca,"Madrid capital, Madrid",
34966947,1, No,Interior,"Alquiler de piso en calle de Hermosilla, 130",Fuente del Berro,1100,40,,,False,Segunda mano/buen estado,True,Sur,,Bomba de frío/calor,True,"Calle de Hermosilla, 130",Distrito Barrio de Salamanca,"Madrid capital, Madrid",
108532538,1, No,Exterior,Alquiler de piso en Fuente del Berro,Barrio de Salamanca,2000,100,2.0,2.0,False,Segunda mano/buen estado,True,Este,1928.0,Eléctrica,True,,Distrito Barrio de Salamanca,"Madrid capital, Madrid",
95504590,1, No,Exterior,Alquiler de piso en calle de Padilla,Castellana,3495,130,2.0,2.0,False,Segunda mano/buen estado,True,,,,True,Calle de Padilla,Distrito Barrio de Salamanca,"Madrid capital, Madrid",
95818173,1, No,Interior,"Alquiler de piso en calle del Marqués de Mondéjar, 37",Fuente del Berro,915,40,,,False,Segunda mano/buen estado,True,Norte,,Eléctrica,False,"Calle del Marqués de Mondéjar, 37",Distrito Barrio de Salamanca,"Madrid capital, Madrid",
108559149,1, No,Interior,"Alquiler de piso en calle de los Fundadores, 20",Fuente del Berro,1200,70,2.0,,False,Segunda mano/buen estado,True,Oeste,,Bomba de frío/calor,True,"Calle de los Fundadores, 20",Distrito Barrio de Salamanca,"Madrid capital, Madrid",
107601551,1, No,Interior,Alquiler de piso en calle de Don Ramón de la Cruz,Lista,2500,68,2.0,2.0,False,Segunda mano/buen estado,True,,,Gas,True,Calle de Don Ramón de la Cruz,Distrito Barrio de Salamanca,"Madrid capital, Madrid",
98516888,1, No,Interior,"Alquiler de piso en calle de Azcona, 10",Guindalera,1500,45,,,False,Segunda mano/buen estado,True,Sur,,Eléctrica,True,"Calle de Azcona, 10",Distrito Barrio de Salamanca,"Madrid capital, Madrid",
105407859,1, No,Exterior,"Alquiler de piso en calle de Lope de Rueda, 9",Goya,3200,73,2.0,2.0,False,Segunda mano/buen estado,True,Sur,1960.0,Gas natural,True,"Calle de Lope de Rueda, 9",Distrito Barrio de Salamanca,"Madrid capital, Madrid",
107245533,1, No,Exterior,Alquiler de piso en calle del General Díaz Porlier,Lista,1200,53,,,False,Segunda mano/buen estado,True,,1941.0,Eléctrica,False,Calle del General Díaz Porlier,Distrito Barrio de Salamanca,"Madrid capital, Madrid",
106859921,1, No,Exterior,"Alquiler de piso en calle de Recoletos, 17",Recoletos,9000,257,3.0,5.0,False,Segunda mano/buen estado,True,,,Bomba de frío/calor,False,"Calle de Recoletos, 17",Distrito Barrio de Salamanca,"Madrid capital, Madrid",
105711018,1, No,Interior,Alquiler de piso en Lista,Barrio de Salamanca,1500,45,,,False,Segunda mano/buen estado,True,Sur,,Eléctrica,True,,Distrito Barrio de Salamanca,"Madrid capital, Madrid",
108704608,1, No,Exterior,Alquiler de piso en calle Topete,Bellas Vistas,1800,67,3.0,3.0,False,Segunda mano/buen estado,True,,,Eléctrica,True,Calle Topete,Distrito Tetuán,"Madrid capital, Madrid",
108683285,1, No,Interior,"Alquiler de piso en calle de las Margaritas, 15",Berruguete,1050,40,2.0,,False,Segunda mano/buen estado,True,,,Eléctrica,True,"Calle de las Margaritas, 15",Distrito Tetuán,"Madrid capital, Madrid",
98297977,1, No,Exterior,"Alquiler de piso en calle Francisca Calonge, 3",Valdeacederas,1090,65,2.0,,False,Segunda mano/buen estado,True,Este,,Gas natural,True,"Calle Francisca Calonge, 3",Distrito Tetuán,"Madrid capital, Madrid",
108145831,1, No,Exterior,Alquiler de piso en calle de José,Ventilla-Almenara,1750,91,2.0,,False,Segunda mano/buen estado,True,,,Gas natural,True,Calle de José,Distrito Tetuán,"Madrid capital, Madrid",
108151384,1, No,Exterior,"Alquiler de piso en calle de Villaamil, 57",Berruguete,990,47,,,True,Segunda mano/buen estado,False,,,,True,"Calle de Villaamil, 57",Distrito Tetuán,"Madrid capital, Madrid",
108151384,1, No,Exterior,"Alquiler de piso en calle de Villaamil, 57",Berruguete,990,47,,,True,Segunda mano/buen estado,False,,,,True,"Calle de Villaamil, 57",Distrito Tetuán,"Madrid capital, Madrid",
94434467,1, No,Exterior,"Alquiler de piso en Palencia, 50",Cuatro Caminos,1040,60,,,False,Segunda mano/buen estado,True,Norte,,Gas natural,False,,Distrito Tetuán,"Madrid capital, Madrid",
106898492,1, No,Exterior,Alquiler de piso en calle de la Salvia,Valdeacederas,1400,21,,,False,Segunda mano/buen estado,False,,,,False,Calle de la Salvia,Distrito Tetuán,"Madrid capital, Madrid",
105874885,1, No,Exterior,Alquiler de piso en calle de Juan de Olías,Cuatro Caminos,1045,42,,,False,Segunda mano/buen estado,False,Sur,,Eléctrica,False,Calle de Juan de Olías,Distrito Tetuán,"Madrid capital, Madrid",
108669347,1, No,Interior,Alquiler de estudio en calle de Cuevas,Valdeacederas,650,20,,,False,Segunda mano/buen estado,False,,,,True,Calle de Cuevas,Distrito Tetuán,"Madrid capital, Madrid",
108595035,1, No,Exterior,Alquiler de piso en CL Castilla,Bellas Vistas,1850,91,3.0,3.0,False,Segunda mano/buen estado,True,,1920.0,,True,,Distrito Tetuán,"Madrid capital, Madrid",
103291255,1, No,Exterior,"Alquiler de piso en paseo de la Dirección, 324",Valdeacederas,1800,80,3.0,2.0,False,Segunda mano/buen estado,True,Norte,,Bomba de frío/calor,True,,Distrito Tetuán,"Madrid capital, Madrid",
100570088,1, No,Exterior,Alquiler de piso en calle Fereluz,Valdeacederas,1450,72,2.0,,True,Segunda mano/buen estado,True,Este,1995.0,Eléctrica,True,Calle Fereluz,Distrito Tetuán,"Madrid capital, Madrid",
