id;Planta;Ascensor;EXT-INT
108531070;1; Si;Interior
107519078;1; Si;Exterior
107535744;1; Si;Interior
108522661;1; Si;Interior
97343749;1; Si;Exterior
108436556;1; Si;Exterior
107199902;1; Si;Exterior
108558693;1; Si;Exterior
107878456;1; Si;Interior
108518053;1; Si;Exterior
108228984;1; Si;Exterior
108131232;1; Si;Exterior
107381114;1; Si;Exterior
108115635;1; Si;Exterior
107707874;1; Si;Exterior
106810110;1; Si;Exterior
107459646;1; Si;Exterior
108323211;1; Si;Exterior
108516972;1; Si;Exterior
108554086;1; Si;Exterior
108433575;1; Si;Exterior
108433637;1; Si;Exterior
108433501;1; Si;Exterior
108597521;1; Si;Exterior
108013331;1; Si;Exterior
108310014;1; Si;Exterior
108563194;1; Si;Exterior
108566424;1; Si;Exterior
108566422;1; Si;Exterior
108121415;1; Si;Exterior
108629076;1; Si;Exterior
108591816;1; Si;Exterior
107970208;1; Si;Exterior
108490890;1; Si;Exterior
108563638;1; Si;Exterior
108523351;1; Si;Exterior
108486093;1; Si;Exterior
108409654;1; Si;Exterior
105098874;1; Si;Exterior
106063821;1; Si;Exterior
106955866;1; Si;Exterior
107873687;1; Si;Exterior
108088921;1; Si;Exterior
108212836;1; No;Exterior
106534103;1; Si;Exterior
107638884;1; Si;Exterior
108567201;1; Si;Exterior
108363355;1; Si;Exterior
108235022;1; Si;Exterior
104244580;1; Si;Exterior
104793114;1; Si;Exterior
108219930;1; Si;Exterior
106968036;1; Si;Exterior
105682413;1; Si;Interior
108638944;1; Si;Interior
108102572;1; No;Interior
108437972;1; Si;Exterior
107032376;1; Si;Exterior
107549164;1; Si;Exterior
108491950;1; Si;Interior
104773945;1; Si;Exterior
106407221;1; Si;Exterior
105971695;1; Si;Exterior
108584591;1; Si;Exterior
108072855;1; Si;Exterior
107986793;1; Si;Exterior
108308746;1; Si;Exterior
107318690;1; Si;Exterior
108308918;1; Si;Exterior
108321646;1; Si;Exterior
107944837;1; Si;Exterior
108121841;1; Si;Exterior
108348802;1; Si;Exterior
106509352;1; Si;Exterior
107969578;1; Si;Exterior
106080528;1; Si;Interior
104595525;1; Si;Interior
108344702;1; Si;Exterior
99467776;1; Si;Exterior
108543737;1; Si;Exterior
