precio;vivienda;m2;habitaciones;baños;estado;armarios_empotrados;aire_acondicionado;distrito;municipio;precio_m2;tipo_vivienda
1950;piso;100;3;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;19.5;Piso
1300;ático;53;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;24.53;Piso
1150;piso;30;0;1;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;38.33;Piso
950;piso;45;0;1;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;21.11;Piso
1150;estudio;42;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;27.38;Piso
1350;piso;40;2;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;33.75;Piso
800;estudio;30;0;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;26.67;Piso
1400;piso;68;2;1;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;20.59;Piso
1200;piso;54;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;22.22;Piso
1150;piso;30;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;38.33;Piso
990;estudio;30;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;33.0;Piso
1050;ático;50;0;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;21.0;Piso
1600;piso;55;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;29.09;Piso
750;estudio;25;0;1;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;30.0;Piso
975;piso;50;2;2;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;19.5;Piso
1300;piso;40;0;1;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;32.5;Piso
1400;piso;95;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;14.74;Piso
850;ático;30;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;28.33;Piso
1075;estudio;37;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;29.05;Piso
1600;piso;75;2;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;21.33;Piso
1300;piso;55;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;23.64;Piso
1300;piso;55;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;23.64;Piso
800;estudio;30;0;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;26.67;Piso
1650;piso;65;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;25.38;Piso
1350;piso;56;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;24.11;Piso
1300;piso;45;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;28.89;Piso
